Geographic Area Names,Total Female Age 18-44 years,"Total AmericanIndianORAlaskaNative Female, 18-44","Total BlackorAfricanAmerican Female, 18-44","Total HispanicORlatino Female, 18-44","Total White Female, 18-44","Total Asian Female, 18-44","Total NativeHawaiin&OtherPacificIslander Female, 18-44"
"Block Group 3, Census Tract 111, Bibb County, Georgia",69,0.0,69.0,0.0,0.0,0.0,0.0
"Block Group 1, Census Tract 115, Bibb County, Georgia",100,0.0,74.0,6.0,20.0,0.0,0.0
"Block Group 2, Census Tract 115, Bibb County, Georgia",72,0.0,53.0,4.0,15.0,0.0,0.0
"Block Group 1, Census Tract 117.01, Bibb County, Georgia",328,0.0,278.0,10.0,40.0,0.0,0.0
"Block Group 2, Census Tract 117.01, Bibb County, Georgia",482,0.0,408.0,15.0,59.0,0.0,0.0
"Block Group 1, Census Tract 117.02, Bibb County, Georgia",165,0.0,155.0,0.0,10.0,0.0,0.0
"Block Group 2, Census Tract 117.02, Bibb County, Georgia",159,0.0,149.0,0.0,10.0,0.0,0.0
"Block Group 3, Census Tract 117.02, Bibb County, Georgia",219,0.0,206.0,0.0,13.0,0.0,0.0
"Block Group 4, Census Tract 117.02, Bibb County, Georgia",98,0.0,92.0,0.0,6.0,0.0,0.0
"Block Group 5, Census Tract 117.02, Bibb County, Georgia",109,0.0,102.0,0.0,7.0,0.0,0.0
"Block Group 6, Census Tract 117.02, Bibb County, Georgia",169,0.0,159.0,0.0,10.0,0.0,0.0
"Block Group 1, Census Tract 118, Bibb County, Georgia",430,0.0,132.0,0.0,293.0,5.0,0.0
"Block Group 2, Census Tract 118, Bibb County, Georgia",340,0.0,104.0,0.0,232.0,4.0,0.0
"Block Group 3, Census Tract 118, Bibb County, Georgia",124,0.0,38.0,0.0,85.0,1.0,0.0
"Block Group 4, Census Tract 118, Bibb County, Georgia",259,0.0,79.0,0.0,177.0,3.0,0.0
"Block Group 1, Census Tract 119, Bibb County, Georgia",71,5.0,26.0,0.0,40.0,0.0,0.0
"Block Group 2, Census Tract 119, Bibb County, Georgia",316,24.0,115.0,0.0,176.0,0.0,1.0
"Block Group 3, Census Tract 119, Bibb County, Georgia",198,15.0,72.0,0.0,111.0,0.0,0.0
"Block Group 1, Census Tract 120, Bibb County, Georgia",91,0.0,14.0,4.0,71.0,2.0,0.0
"Block Group 2, Census Tract 120, Bibb County, Georgia",203,0.0,32.0,8.0,159.0,4.0,0.0
"Block Group 3, Census Tract 120, Bibb County, Georgia",418,0.0,66.0,17.0,327.0,8.0,0.0
"Block Group 4, Census Tract 120, Bibb County, Georgia",422,0.0,67.0,17.0,330.0,8.0,0.0
"Block Group 1, Census Tract 121.01, Bibb County, Georgia",946,0.0,410.0,23.0,331.0,182.0,0.0
"Block Group 1, Census Tract 121.02, Bibb County, Georgia",578,0.0,294.0,0.0,243.0,41.0,0.0
"Block Group 2, Census Tract 121.02, Bibb County, Georgia",371,0.0,189.0,0.0,156.0,26.0,0.0
"Block Group 3, Census Tract 121.02, Bibb County, Georgia",943,0.0,479.0,0.0,397.0,66.0,1.0
"Block Group 1, Census Tract 122, Bibb County, Georgia",149,0.0,111.0,0.0,38.0,0.0,0.0
"Block Group 2, Census Tract 122, Bibb County, Georgia",450,0.0,334.0,0.0,116.0,0.0,0.0
"Block Group 1, Census Tract 123, Bibb County, Georgia",251,0.0,233.0,0.0,18.0,0.0,0.0
"Block Group 2, Census Tract 123, Bibb County, Georgia",50,0.0,46.0,0.0,4.0,0.0,0.0
"Block Group 3, Census Tract 123, Bibb County, Georgia",423,0.0,392.0,0.0,31.0,0.0,0.0
"Block Group 1, Census Tract 124, Bibb County, Georgia",602,0.0,600.0,0.0,2.0,0.0,0.0
"Block Group 2, Census Tract 124, Bibb County, Georgia",283,0.0,282.0,0.0,1.0,0.0,0.0
"Block Group 3, Census Tract 124, Bibb County, Georgia",219,0.0,218.0,0.0,1.0,0.0,0.0
"Block Group 4, Census Tract 124, Bibb County, Georgia",129,0.0,129.0,0.0,0.0,0.0,0.0
"Block Group 1, Census Tract 125, Bibb County, Georgia",195,0.0,185.0,6.0,4.0,0.0,0.0
"Block Group 2, Census Tract 125, Bibb County, Georgia",314,0.0,298.0,10.0,6.0,0.0,0.0
